Capn_Hardgeus                                # Name
cap.pcx                                      # Pcx file
wav_data/races/human/capgrt.wav              # Greeting
wav_data/races/human/capgrt.wav              # Affirmation
wav_data/races/human/capgrt.wav              # Negation
wav_data/races/human/capgrt.wav              # Gloat
wav_data/races/human/capgrt.wav              # Despair
wav_data/races/human/capgrt.wav              # Death
wav_data/races/human/capgrt.wav              # Victory
51                                           # Passive Agressive
55                                           # Bravery Cowardice
59                                           # Aerial Ground
50                                           # Obedience Disobedience
52                                           # Pylon Grab
53                                           # Radar Kill
50                                           # Radar Protect
3                                            # Skill Level
0                                            # Preferred Vehicle

Major_Flowers                                # Name
maj.pcx                                      # Pcx file
wav_data/races/human/majgrt.wav              # Greeting
wav_data/races/human/majgrt.wav              # Affirmation
wav_data/races/human/majgrt.wav              # Negation
wav_data/races/human/majgrt.wav              # Gloat
wav_data/races/human/majgrt.wav              # Despair
wav_data/races/human/majgrt.wav              # Death
wav_data/races/human/majgrt.wav              # Victory
50                                           # Passive Agressive
50                                           # Bravery Cowardice
45                                           # Aerial Ground
50                                           # Obedience Disobedience
59                                           # Pylon Grab
50                                           # Radar Kill
50                                           # Radar Protect
2                                            # Skill Level
0                                            # Preferred Vehicle

Richard_Stryker                              # Name
ric.pcx                                      # Pcx file
wav_data/races/human/ricgrt.wav              # Greeting
wav_data/races/human/ricgrt.wav              # Affirmation
wav_data/races/human/ricgrt.wav              # Negation
wav_data/races/human/ricgrt.wav              # Gloat
wav_data/races/human/ricgrt.wav              # Despair
wav_data/races/human/ricgrt.wav              # Death
wav_data/races/human/ricgrt.wav              # Victory
52                                           # Passive Agressive
50                                           # Bravery Cowardice
45                                           # Aerial Ground
50                                           # Obedience Disobedience
50                                           # Pylon Grab
56                                           # Radar Kill
50                                           # Radar Protect
3                                            # Skill Level
0                                            # Preferred Vehicle

Cindy_Vicious                                # Name
cin.pcx                                      # Pcx file
wav_data/races/human/cingrt.wav              # Greeting
wav_data/races/human/cingrt.wav              # Affirmation
wav_data/races/human/cingrt.wav              # Negation
wav_data/races/human/cingrt.wav              # Gloat
wav_data/races/human/cingrt.wav              # Despair
wav_data/races/human/cingrt.wav              # Death
wav_data/races/human/cingrt.wav              # Victory
55                                           # Passive Agressive
50                                           # Bravery Cowardice
55                                           # Aerial Ground
50                                           # Obedience Disobedience
50                                           # Pylon Grab
50                                           # Radar Kill
50                                           # Radar Protect
3                                            # Skill Level
0                                            # Preferred Vehicle

Preacher                                     # Name
pre.pcx                                      # Pcx file
wav_data/races/human/pregrt.wav              # Greeting
wav_data/races/human/pregrt.wav              # Affirmation
wav_data/races/human/pregrt.wav              # Negation
wav_data/races/human/pregrt.wav              # Gloat
wav_data/races/human/pregrt.wav              # Despair
wav_data/races/human/pregrt.wav              # Death
wav_data/races/human/pregrt.wav              # Victory
49                                           # Passive Agressive
50                                           # Bravery Cowardice
45                                           # Aerial Ground
50                                           # Obedience Disobedience
52                                           # Pylon Grab
45                                           # Radar Kill
51                                           # Radar Protect
1                                            # Skill Level
0                                            # Preferred Vehicle

Mr_Kent                                      # Name
mrk.pcx                                      # Pcx file
